Dataset,Method,Algorithm,Training Size,Layer,AUC,MAP,BRP_90
commonsense_qa,White Box,PCA,200,1,0.495128,0.4992057247405486,0.0
commonsense_qa,White Box,PCA,200,3,0.502764,0.5079064780565092,0.004
commonsense_qa,White Box,PCA,200,5,0.4994080000000001,0.5052954334170026,0.004
commonsense_qa,White Box,PCA,200,7,0.492956,0.49675526057840047,0.0
commonsense_qa,White Box,PCA,200,9,0.49699000000000004,0.5028077114150188,0.0
commonsense_qa,White Box,PCA,200,11,0.49856199999999995,0.5008341508257672,0.0
commonsense_qa,White Box,PCA,200,13,0.50081,0.5034600372186193,0.0
commonsense_qa,White Box,PCA,200,15,0.509054,0.5126742008936855,0.0
commonsense_qa,White Box,PCA,200,17,0.517242,0.5111067002166619,0.0
commonsense_qa,White Box,PCA,200,19,0.560338,0.5642043901996079,0.004
commonsense_qa,White Box,PCA,200,21,0.5969340000000001,0.5959601787474567,0.002
commonsense_qa,White Box,PCA,200,23,0.7407999999999999,0.7259491074776405,0.022
commonsense_qa,White Box,PCA,200,25,0.7379159999999999,0.7176478525689205,0.008
commonsense_qa,White Box,PCA,200,27,0.745668,0.7236211753731409,0.012
commonsense_qa,White Box,PCA,200,29,0.7443839999999999,0.7241670170165041,0.038
commonsense_qa,White Box,PCA,200,31,0.7480239999999999,0.7328348150950633,0.024
commonsense_qa,White Box,PCA-G,200,1,0.49878199999999995,0.5103913596197314,0.002
commonsense_qa,White Box,PCA-G,200,3,0.487268,0.4970070736748231,0.002
commonsense_qa,White Box,PCA-G,200,5,0.49228800000000006,0.5060578969284943,0.0
commonsense_qa,White Box,PCA-G,200,7,0.491754,0.5016502054528347,0.0
commonsense_qa,White Box,PCA-G,200,9,0.479692,0.494436435972217,0.002
commonsense_qa,White Box,PCA-G,200,11,0.473362,0.4871202512657299,0.002
commonsense_qa,White Box,PCA-G,200,13,0.709896,0.6774422299141826,0.006
commonsense_qa,White Box,PCA-G,200,15,0.742044,0.7193704606920126,0.06
commonsense_qa,White Box,PCA-G,200,17,0.765736,0.7537861948626055,0.086
commonsense_qa,White Box,PCA-G,200,19,0.760942,0.7435547968894863,0.094
commonsense_qa,White Box,PCA-G,200,21,0.763936,0.7486814104271295,0.092
commonsense_qa,White Box,PCA-G,200,23,0.7613840000000001,0.7483955106937972,0.112
commonsense_qa,White Box,PCA-G,200,25,0.759618,0.7440389781167095,0.094
commonsense_qa,White Box,PCA-G,200,27,0.76006,0.7442169997561834,0.076
commonsense_qa,White Box,PCA-G,200,29,0.759164,0.7431187692009947,0.01
commonsense_qa,White Box,PCA-G,200,31,0.7592679999999999,0.7450558675865282,0.008
commonsense_qa,White Box,LR-G,200,1,0.468548,0.488630537965067,0.002
commonsense_qa,White Box,LR-G,200,3,0.49654,0.5063784829414542,0.004
commonsense_qa,White Box,LR-G,200,5,0.513596,0.5228848236697974,0.01
commonsense_qa,White Box,LR-G,200,7,0.5840000000000001,0.5876557774990312,0.01
commonsense_qa,White Box,LR-G,200,9,0.734564,0.7273333571785221,0.086
commonsense_qa,White Box,LR-G,200,11,0.830264,0.8333930010026966,0.408
commonsense_qa,White Box,LR-G,200,13,0.877204,0.8793391120883176,0.55
commonsense_qa,White Box,LR-G,200,15,0.890604,0.8917300735320168,0.636
commonsense_qa,White Box,LR-G,200,17,0.896424,0.897080299189029,0.594
commonsense_qa,White Box,LR-G,200,19,0.8949639999999999,0.8961888847810983,0.606
commonsense_qa,White Box,LR-G,200,21,0.8902320000000001,0.8919746793502303,0.576
commonsense_qa,White Box,LR-G,200,23,0.88534,0.8870201977679434,0.548
commonsense_qa,White Box,LR-G,200,25,0.8841199999999999,0.8862585049971181,0.542
commonsense_qa,White Box,LR-G,200,27,0.879788,0.8815475734357305,0.548
commonsense_qa,White Box,LR-G,200,29,0.879556,0.8806295830319508,0.57
commonsense_qa,White Box,LR-G,200,31,0.8790920000000001,0.8805220004589451,0.544
commonsense_qa,Black Box,BB,500,N/A,0.740548,0.7248708543462171,0.0
commonsense_qa,White Box,LR,500,1,0.49771,0.5086364414281649,0.002
commonsense_qa,White Box,LR,500,3,0.497282,0.5040444009783895,0.0
commonsense_qa,White Box,LR,500,5,0.522078,0.5148335374899586,0.0
commonsense_qa,White Box,LR,500,7,0.579558,0.5727063330921974,0.0
commonsense_qa,White Box,LR,500,9,0.6612340000000001,0.621040084288313,0.0
commonsense_qa,White Box,LR,500,11,0.73734,0.7086184852685615,0.06
commonsense_qa,White Box,LR,500,13,0.7786259999999999,0.7594724568346648,0.184
commonsense_qa,White Box,LR,500,15,0.789906,0.7783242074892007,0.208
commonsense_qa,White Box,LR,500,17,0.7927219999999999,0.7884144853613346,0.222
commonsense_qa,White Box,LR,500,19,0.790046,0.7844116432259076,0.208
commonsense_qa,White Box,LR,500,21,0.7820739999999999,0.7731784242246149,0.19
commonsense_qa,White Box,LR,500,23,0.781954,0.7724089940647496,0.178
commonsense_qa,White Box,LR,500,25,0.774874,0.7614046169169548,0.132
commonsense_qa,White Box,LR,500,27,0.77119,0.7568366873638317,0.116
commonsense_qa,White Box,LR,500,29,0.7621580000000001,0.7455297174744568,0.102
commonsense_qa,White Box,LR,500,31,0.755818,0.7366786182508349,0.114
commonsense_qa,White Box,DIM,500,1,0.49796000000000007,0.5094417265344204,0.002
commonsense_qa,White Box,DIM,500,3,0.49738,0.5038029146553138,0.0
commonsense_qa,White Box,DIM,500,5,0.513262,0.518510812824289,0.0
commonsense_qa,White Box,DIM,500,7,0.541044,0.5448276224653099,0.0
commonsense_qa,White Box,DIM,500,9,0.6118520000000001,0.5925551592695064,0.0
commonsense_qa,White Box,DIM,500,11,0.6957399999999999,0.6664417304085626,0.006
