Dataset,Method,Algorithm,Training Size,Actual Size Trained,Layer,AUC,MAP,BRP_90
open_book_qa,White Box,LR,5000,5000,16,0.846524,0.8505950437592731,0.406
open_book_qa,White Box,DIM,5000,5000,22,0.751348,0.7514033303869928,0.17
open_book_qa,White Box,LAT,5000,5000,17,0.723228,0.7049741840434093,0.052
open_book_qa,White Box,CCS,5000,5000,25,0.7859319999999999,0.7673299439137387,0.088
open_book_qa,White Box,LDA,5000,5000,22,0.613564,0.5962167673368862,0.004
open_book_qa,White Box,PCA,5000,5000,17,0.725316,0.7072044499414853,0.048
open_book_qa,White Box,PCA-G,5000,5000,30,0.746564,0.7412710880682036,0.128
open_book_qa,White Box,LR-G,5000,5000,18,0.9677640000000001,0.96828264109846,0.902
boolq,Black Box,BB,100,100,N/A,0.6472640000000001,0.621740822771271,0.002
boolq,White Box,LR,100,100,3,0.6538719999999999,0.5918764660613933,0.0
boolq,White Box,DIM,100,100,15,0.638888,0.6250853644347221,0.01
boolq,White Box,LAT,100,100,5,0.646876,0.5972650635803124,0.002
boolq,White Box,CCS,100,100,11,0.673608,0.6660024090194299,0.038
boolq,White Box,LDA,100,100,32,0.651536,0.608945176194063,0.0
boolq,White Box,PCA,100,100,7,0.6499639999999999,0.5917340021875209,0.0
boolq,White Box,PCA-G,100,100,11,0.666596,0.6526898863254471,0.006
boolq,White Box,LR-G,100,100,4,0.676164,0.6550186960305904,0.0
boolq,Black Box,BB,200,200,N/A,0.6683699999999999,0.6385738890397814,0.002
boolq,White Box,LR,200,200,24,0.7598119999999999,0.7572894703109041,0.216
boolq,White Box,DIM,200,200,23,0.7063839999999999,0.7295187378156607,0.086
boolq,White Box,LAT,200,200,7,0.6502359999999999,0.5898361471406535,0.0
boolq,White Box,CCS,200,200,5,0.651104,0.6029389240786036,0.002
boolq,White Box,LDA,200,200,32,0.713888,0.6890758030606594,0.002
boolq,White Box,PCA,200,200,7,0.6501520000000001,0.5904057060352164,0.0
boolq,White Box,PCA-G,200,200,11,0.6672279999999999,0.6533987078440888,0.006
boolq,White Box,LR-G,200,200,18,0.844316,0.8405916217339575,0.51
boolq,Black Box,BB,500,500,N/A,0.702496,0.6713242088121579,0.0
boolq,White Box,LR,500,500,17,0.8066119999999999,0.8152070339713187,0.364
boolq,White Box,DIM,500,500,22,0.694408,0.7164524807880917,0.048
boolq,White Box,LAT,500,500,10,0.658768,0.6128236387483679,0.002
boolq,White Box,CCS,500,500,10,0.6734279999999999,0.6545363664051074,0.01
boolq,White Box,LDA,500,500,31,0.76532,0.7473386863315368,0.062
boolq,White Box,PCA,500,500,6,0.64422,0.5998561297036392,0.0
boolq,White Box,PCA-G,500,500,11,0.6679200000000001,0.6555117532569821,0.006
boolq,White Box,LR-G,500,500,31,0.8564119999999998,0.8454479690732165,0.434
boolq,Black Box,BB,1000,1000,N/A,0.72324,0.7143321658382165,0.0
boolq,White Box,LR,1000,1000,19,0.830024,0.8405170984187268,0.452
boolq,White Box,DIM,1000,1000,22,0.712812,0.738184789841817,0.154
boolq,White Box,LAT,1000,1000,11,0.6651440000000001,0.6489269695751332,0.02
boolq,White Box,CCS,1000,1000,11,0.6741379999999999,0.6654545627881964,0.024
boolq,White Box,LDA,1000,1000,22,0.7462439999999999,0.7451832880901439,0.024
boolq,White Box,PCA,1000,1000,11,0.664044,0.6435579437963823,0.008
boolq,White Box,PCA-G,1000,1000,11,0.6680279999999998,0.655799810727238,0.006
boolq,White Box,LR-G,1000,1000,17,0.87966,0.8771972795988938,0.6
boolq,Black Box,BB,2000,2000,N/A,0.7310960000000001,0.7133685885742921,0.0
boolq,White Box,LR,2000,2000,18,0.856888,0.8614116995591323,0.544
boolq,White Box,DIM,2000,2000,22,0.717552,0.7450273354817116,0.166
boolq,White Box,LAT,2000,2000,11,0.6602119999999999,0.6317756247357816,0.002
boolq,White Box,CCS,2000,2000,3,0.6536120000000001,0.5941251242409049,0.0
boolq,White Box,LDA,2000,2000,21,0.702508,0.6849145293201024,0.024
boolq,White Box,PCA,2000,2000,11,0.665,0.6469307131116128,0.042
boolq,White Box,PCA-G,2000,2000,3,0.6517560000000001,0.5889461257107698,0.0
boolq,White Box,LR-G,2000,2000,16,0.892848,0.8902800309698045,0.64
boolq,Black Box,BB,5000,5000,N/A,0.740748,0.7380508967184943,0.024
boolq,White Box,LR,5000,5000,16,0.8806080000000001,0.880844239170114,0.562
boolq,White Box,DIM,5000,5000,24,0.737116,0.7647659719546875,0.248
boolq,White Box,LAT,5000,5000,6,0.644116,0.5980805552024377,0.0
boolq,White Box,CCS,5000,5000,4,0.6594920000000001,0.6149103762191729,0.0
boolq,White Box,LDA,5000,5000,31,0.6456120000000001,0.61309812168559,0.002
boolq,White Box,PCA,5000,5000,5,0.650944,0.6128884970910314,0.0
boolq,White Box,PCA-G,5000,5000,5,0.650496,0.6084576077241521,0.0
boolq,White Box,LR-G,5000,5000,17,0.9093000000000001,0.901730592132987,0.684
rte,Black Box,BB,100,100,N/A,0.572032,0.5734819388238056,0.002
rte,White Box,LR,100,100,24,0.7692640000000001,0.7640907949274769,0.102
rte,White Box,DIM,100,100,24,0.653144,0.6766658523912983,0.058
rte,White Box,LAT,100,100,26,0.527344,0.6262422428187958,0.128
rte,White Box,CCS,100,100,29,0.548726,0.6187835546677019,0.01
rte,White Box,LDA,100,100,19,0.7721879999999999,0.752936393088584,0.072
rte,White Box,PCA,100,100,23,0.5233639999999999,0.6031921843647993,0.058
rte,White Box,PCA-G,100,100,22,0.5311760000000001,0.612893040933651,0.066
rte,White Box,LR-G,100,100,14,0.8391400000000001,0.8364541361422836,0.406
rte,Black Box,BB,200,200,N/A,0.594148,0.579655979119712,0.002
rte,White Box,LR,200,200,18,0.8089519999999999,0.8120280339964097,0.294
rte,White Box,DIM,200,200,25,0.6772119999999999,0.6900893176482004,0.064
rte,White Box,LAT,200,200,12,0.514132,0.519573458879601,0.0
rte,White Box,CCS,200,200,26,0.509808,0.5324982164989502,0.008
rte,White Box,LDA,200,200,20,0.7831920000000001,0.7870450035330678,0.252
rte,White Box,PCA,200,200,22,0.5202680000000001,0.5955022483206318,0.042
rte,White Box,PCA-G,200,200,23,0.523964,0.6006282819713916,0.058
rte,White Box,LR-G,200,200,23,0.845812,0.8448367122683991,0.404
rte,Black Box,BB,500,500,N/A,0.60872,0.5929486898695111,0.002
rte,White Box,LR,500,500,18,0.8483759999999999,0.8487290734156963,0.432
rte,White Box,DIM,500,500,31,0.710928,0.7014657449807645,0.02
rte,White Box,LAT,500,500,31,0.5318959999999999,0.5502194160343115,0.022
rte,White Box,CCS,500,500,26,0.662158,0.6795725366235388,0.096
rte,White Box,LDA,500,500,20,0.797644,0.7928960257188671,0.306
rte,White Box,PCA,500,500,32,0.551892,0.5751912667836234,0.004
rte,White Box,PCA-G,500,500,32,0.53298,0.5780771858892882,0.028
rte,White Box,LR-G,500,500,17,0.8960520000000001,0.8954204106055337,0.626
rte,Black Box,BB,1000,1000,N/A,0.617916,0.6044379927026718,0.006
rte,White Box,LR,1000,1000,18,0.8663959999999999,0.8656445428015822,0.482
rte,White Box,DIM,1000,1000,31,0.7105679999999999,0.7046006133743195,0.056
rte,White Box,LAT,1000,1000,32,0.5461360000000001,0.5764297414247114,0.006
rte,White Box,CCS,1000,1000,24,0.5294,0.5686932006855315,0.02
rte,White Box,LDA,1000,1000,18,0.7759159999999999,0.7755574405831585,0.15
rte,White Box,PCA,1000,1000,32,0.551248,0.5747708791600568,0.02
rte,White Box,PCA-G,1000,1000,22,0.517012,0.5932059944943384,0.046
rte,White Box,LR-G,1000,1000,19,0.9010279999999999,0.8975805894650619,0.676
rte,Black Box,BB,2000,2000,N/A,0.6302760000000001,0.611588734143907,0.002
rte,White Box,LR,2000,2000,18,0.885372,0.8844964049925497,0.564
rte,White Box,DIM,2000,2000,31,0.714032,0.7060804317568292,0.026
rte,White Box,LAT,2000,2000,22,0.52748,0.6119490457423851,0.056
rte,White Box,CCS,2000,2000,32,0.50066,0.5315538568347697,0.012
rte,White Box,LDA,2000,2000,19,0.7483080000000001,0.7342311691905625,0.024
rte,White Box,PCA,2000,2000,32,0.540584,0.5752057356732709,0.006
rte,White Box,PCA-G,2000,2000,22,0.519292,0.597508260937268,0.05
rte,White Box,LR-G,2000,2000,30,0.894084,0.8959496177131042,0.588
rte,Black Box,BB,5000,3980,N/A,0.6333,0.6155488935001987,0.0
rte,White Box,LR,5000,3980,17,0.901796,0.9029152574637587,0.634
rte,White Box,DIM,5000,3980,17,0.738024,0.7250613872175853,0.06
rte,White Box,LAT,5000,3980,22,0.5100359999999999,0.5766707591688021,0.028
rte,White Box,CCS,5000,3980,29,0.5186200000000001,0.5501040985372186,0.01
rte,White Box,LDA,5000,3980,17,0.528396,0.52398343617618,0.0
rte,White Box,PCA,5000,3980,22,0.518096,0.5945997391422921,0.04
rte,White Box,PCA-G,5000,3980,22,0.519244,0.5978839245600691,0.048
rte,White Box,LR-G,5000,3980,17,0.921136,0.9216396321208963,0.732
imdb,Black Box,BB,100,100,N/A,0.659304,0.6860310608001001,0.01
imdb,White Box,LR,100,100,5,0.583928,0.5532319735880822,0.002
imdb,White Box,DIM,100,100,7,0.5968880000000001,0.5550624178879753,0.0
imdb,White Box,LAT,100,100,25,0.86114,0.8768570393579092,0.618
imdb,White Box,CCS,100,100,4,0.595958,0.5848082740912585,0.004
imdb,White Box,LDA,100,100,1,0.60284,0.5605315903168984,0.0
imdb,White Box,PCA,100,100,25,0.937436,0.9394210572978527,0.828
imdb,White Box,PCA-G,100,100,3,0.5998399999999999,0.618982660901934,0.004
imdb,White Box,LR-G,100,100,1,0.607424,0.5862500372892798,0.0
imdb,Black Box,BB,200,200,N/A,0.631756,0.6814689258779403,0.128
imdb,White Box,LR,200,200,4,0.596948,0.6022450693552331,0.006
imdb,White Box,DIM,200,200,8,0.60468,0.5558921379512395,0.0
imdb,White Box,LAT,200,200,27,0.9358039999999999,0.941853634330954,0.844
imdb,White Box,CCS,200,200,4,0.598136,0.6111719974470176,0.018
imdb,White Box,LDA,200,200,1,0.603444,0.59547053408384,0.036
imdb,White Box,PCA,200,200,27,0.944536,0.9476476546759183,0.868
imdb,White Box,PCA-G,200,200,3,0.5994919999999999,0.6212520649286104,0.006
imdb,White Box,LR-G,200,200,1,0.607376,0.5867907617717161,0.0
imdb,Black Box,BB,500,500,N/A,0.621608,0.6720312403845912,0.004
imdb,White Box,LR,500,500,4,0.5955680000000001,0.6022867646270382,0.018
imdb,White Box,DIM,500,500,4,0.600796,0.6011651159598241,0.0
imdb,White Box,LAT,500,500,29,0.8404,0.8670446667014782,0.604
imdb,White Box,CCS,500,500,4,0.598378,0.6121436644336802,0.004
