Source,Target,Method,Layer_Config,Layer,InDist_AUC,OutDist_AUC,Recovered_AUC,Recovered_MAP,Recovered_BRP_90
got_cities,dbpedia_14,Grouped Logistic Regression,L8,8,0.748161944907362,0.6495899185823755,0.8682477410192364,0.12151332522995471,0.0
got_cities,rte,Grouped Logistic Regression,L8,8,0.748161944907362,0.5111105318719128,0.6831549443953594,0.6832864468006905,0.048616125150421186
got_cities,copa,Grouped Logistic Regression,L8,8,0.748161944907362,0.5398999999999999,0.7216352070230607,0.7030599412179817,0.03366666666666667
got_cities,boolq,Grouped Logistic Regression,L8,8,0.748161944907362,0.43353200000000003,0.5794627793501049,0.5955045184322727,0.013466666666666667
got_sp_en_trans,commonsense_qa,Grouped Logistic Regression,L8,8,0.584423305588585,0.413396875,0.7073586406408953,0.27170071618652486,0.0
got_sp_en_trans,race,Grouped Logistic Regression,L8,8,0.584423305588585,0.484688,0.8293440651068159,0.41841126500681664,0.07733333333333334
got_sp_en_trans,arc_easy,Grouped Logistic Regression,L8,8,0.584423305588585,0.46402921940759034,0.7939950631165483,0.37811621705412735,0.0
got_sp_en_trans,arc_challenge,Grouped Logistic Regression,L8,8,0.584423305588585,0.4990026542694376,0.8538377054742563,0.42304015750318197,0.0
got_sp_en_trans,open_book_qa,Grouped Logistic Regression,L8,8,0.584423305588585,0.5259253333333334,0.8999047921329264,0.46507936578860026,0.0
got_sp_en_trans,got_cities,Grouped Logistic Regression,L8,8,0.584423305588585,0.4983062662701913,0.8526461239740202,0.9327034389000157,0.8294829482948295
got_sp_en_trans,got_sp_en_trans,Grouped Logistic Regression,L8,8,0.584423305588585,0.584423305588585,1.0,1.0,1.0
got_sp_en_trans,got_larger_than,Grouped Logistic Regression,L8,8,0.584423305588585,0.506915090080847,0.867376583434369,0.8185117940666492,0.0
got_sp_en_trans,imdb,Grouped Logistic Regression,L8,8,0.584423305588585,0.8725119999999998,1.4929452533062053,1.4578986390145894,10.478666666666667
got_sp_en_trans,amazon_polarity,Grouped Logistic Regression,L8,8,0.584423305588585,0.429456,0.7348372248219736,0.7795210434201888,0.07733333333333334
got_sp_en_trans,ag_news,Grouped Logistic Regression,L8,8,0.584423305588585,0.46065599999999995,0.7882231861648016,0.359183240898214,0.0
got_sp_en_trans,dbpedia_14,Grouped Logistic Regression,L8,8,0.584423305588585,0.2539212164750958,0.43448167457895337,0.07667140352916826,0.0
got_sp_en_trans,rte,Grouped Logistic Regression,L8,8,0.584423305588585,0.49596632303301236,0.8486422739995186,0.8395419886050062,0.13959085439229843
got_sp_en_trans,copa,Grouped Logistic Regression,L8,8,0.584423305588585,0.5124,0.8767617497456764,0.8869731184209328,0.58
got_sp_en_trans,boolq,Grouped Logistic Regression,L8,8,0.584423305588585,0.616512,1.0549065961342827,0.9674161321050175,0.0
got_larger_than,commonsense_qa,Grouped Logistic Regression,L8,8,0.6581735250836904,0.47429687499999995,0.7206258789271272,0.3034077099022678,0.15884615384615383
got_larger_than,race,Grouped Logistic Regression,L8,8,0.6581735250836904,0.4767093333333333,0.7242912623577757,0.36920661746573225,0.0
got_larger_than,arc_easy,Grouped Logistic Regression,L8,8,0.6581735250836904,0.4769544222161616,0.7246636396617657,0.3434612802830744,0.0
got_larger_than,arc_challenge,Grouped Logistic Regression,L8,8,0.6581735250836904,0.5115452741769903,0.7772194636846634,0.3892222555581579,0.0
got_larger_than,open_book_qa,Grouped Logistic Regression,L8,8,0.6581735250836904,0.4771466666666667,0.7249557274519586,0.3472133666324574,0.0
got_larger_than,got_cities,Grouped Logistic Regression,L8,8,0.6581735250836904,0.43272446056486835,0.6574625749491292,0.6388144597801642,0.0
got_larger_than,got_sp_en_trans,Grouped Logistic Regression,L8,8,0.6581735250836904,0.45481569560047563,0.6910270289930658,0.7600987329978945,0.5477453580901857
