Dataset,Method,Layer,Metric,Mean A,Mean B,W-Statistic,P-Value,Significant (p<0.05)
commonsense_qa,LAT,15,Macro F1,0.5094060027703554,0.5105691427396528,189.0,0.3817984350025654,False
commonsense_qa,LAT,17,AUC,0.5715402666666667,0.5947290666666665,0.0,1.862645149230957e-09,True
commonsense_qa,LAT,17,Macro F1,0.5598145845520957,0.5775610362336561,0.0,1.862645149230957e-09,True
commonsense_qa,LAT,19,AUC,0.6159605333333332,0.6738399999999999,0.0,1.862645149230957e-09,True
commonsense_qa,LAT,19,Macro F1,0.5859841360873355,0.6209304243310272,0.0,1.862645149230957e-09,True
commonsense_qa,LAT,21,AUC,0.6586277333333331,0.6910714666666667,0.0,1.7333066441991056e-06,True
commonsense_qa,LAT,21,Macro F1,0.6124676143113901,0.6311743760798483,0.0,1.862645149230957e-09,True
commonsense_qa,LAT,23,AUC,0.69204,0.7366368,0.0,1.862645149230957e-09,True
commonsense_qa,LAT,23,Macro F1,0.6357210954656096,0.6708221156878814,0.0,1.862645149230957e-09,True
commonsense_qa,LAT,25,AUC,0.6507125333333335,0.7020655999999998,0.0,1.7333066441991056e-06,True
commonsense_qa,LAT,25,Macro F1,0.6039186773971903,0.6430902920586341,0.0,1.862645149230957e-09,True
commonsense_qa,LAT,27,AUC,0.7395429333333332,0.7389983999999999,189.0,0.3709100073132159,False
commonsense_qa,LAT,27,Macro F1,0.6842628922588664,0.6726402438764735,7.0,3.5390257835388184e-08,True
commonsense_qa,LAT,29,AUC,0.74768,0.7426197333333333,0.0,1.862645149230957e-09,True
commonsense_qa,LAT,29,Macro F1,0.676653599135204,0.6730712940922773,117.0,0.016431212425231934,True
commonsense_qa,LAT,31,AUC,0.7378650666666667,0.7401173333333334,77.0,0.0008718203753232956,True
commonsense_qa,LAT,31,Macro F1,0.6785524153490531,0.6760676258269238,162.0,0.15188691951334476,False
commonsense_qa,CCS,1,AUC,0.5047191999999999,0.5057056,110.0,0.011745883156567731,True
commonsense_qa,CCS,1,Macro F1,0.5040660514655306,0.5008404773000795,35.0,0.0001304544250680275,True
commonsense_qa,CCS,3,AUC,0.4917216,0.49030986666666665,77.5,0.0014317291658133447,True
commonsense_qa,CCS,3,Macro F1,0.4901805995083885,0.49356699696047296,99.0,0.0050126127898693085,True
commonsense_qa,CCS,5,AUC,0.49300479999999997,0.5208216,88.0,0.0021877754479646683,True
commonsense_qa,CCS,5,Macro F1,0.4913284789360323,0.5215636597928175,67.0,0.0003449581563472748,True
commonsense_qa,CCS,7,AUC,0.5270048,0.5210746666666667,112.0,0.012047622352838516,True
commonsense_qa,CCS,7,Macro F1,0.5342431334327898,0.519005659901784,37.0,1.0609626770019531e-05,True
commonsense_qa,CCS,9,AUC,0.5039322666666666,0.5102101333333332,119.0,0.018529480323195457,True
commonsense_qa,CCS,9,Macro F1,0.5128714289383645,0.5109992790855864,207.0,0.6120056137442589,False
commonsense_qa,CCS,11,AUC,0.6201045333333333,0.6464869333333335,8.0,4.6566128730773926e-08,True
commonsense_qa,CCS,11,Macro F1,0.5955112826820412,0.6086428614739818,60.0,0.00016989745199680328,True
commonsense_qa,CCS,13,AUC,0.7785408,0.7440405333333334,0.0,1.862645149230957e-09,True
commonsense_qa,CCS,13,Macro F1,0.7129025125582318,0.6821979646034991,0.0,1.862645149230957e-09,True
commonsense_qa,CCS,15,AUC,0.7778837333333333,0.7916277333333335,8.0,4.6566128730773926e-08,True
commonsense_qa,CCS,15,Macro F1,0.7090654927991379,0.7167625352895437,108.0,0.009301122277975082,True
commonsense_qa,CCS,17,AUC,0.8170314666666666,0.8078597333333334,15.0,2.551823854446411e-07,True
commonsense_qa,CCS,17,Macro F1,0.7428360507600581,0.7420782526813939,213.0,0.7000329215079546,False
commonsense_qa,CCS,19,AUC,0.7934442666666666,0.8170496,0.0,1.862645149230957e-09,True
commonsense_qa,CCS,19,Macro F1,0.7274106625560323,0.7567809471355512,0.0,1.862645149230957e-09,True
commonsense_qa,CCS,21,AUC,0.7774954666666666,0.8045471999999999,0.0,1.862645149230957e-09,True
commonsense_qa,CCS,21,Macro F1,0.713558864413118,0.7268536226829163,32.0,3.7225009949413963e-05,True
commonsense_qa,CCS,23,AUC,0.8118864,0.7984314666666668,2.0,5.587935447692871e-09,True
commonsense_qa,CCS,23,Macro F1,0.743251042350364,0.7335465480435934,25.0,1.6838312149047852e-06,True
commonsense_qa,CCS,25,AUC,0.8041778666666666,0.8063434666666667,161.0,0.1413789895451022,False
commonsense_qa,CCS,25,Macro F1,0.7258706950482604,0.7432576632330516,1.0,3.725290298461914e-09,True
commonsense_qa,CCS,27,AUC,0.8087776000000001,0.7901722666666667,0.0,1.862645149230957e-09,True
commonsense_qa,CCS,27,Macro F1,0.7447954616175675,0.7300981614859541,12.0,1.30385160446167e-07,True
commonsense_qa,CCS,29,AUC,0.8083136000000001,0.7951861333333332,0.0,1.862645149230957e-09,True
commonsense_qa,CCS,29,Macro F1,0.7398097037613809,0.7315587959328382,76.0,0.0007978975772857666,True
commonsense_qa,CCS,31,AUC,0.7795029333333333,0.7991866666666668,2.0,5.587935447692871e-09,True
commonsense_qa,CCS,31,Macro F1,0.7242890958105623,0.7327067493703411,71.0,0.0005054883658885956,True
commonsense_qa,LDA,1,AUC,0.5232282666666667,0.5094309333333333,89.0,0.0023674946278333664,True
commonsense_qa,LDA,1,Macro F1,0.5239652153500031,0.49143903416994666,3.0,9.313225746154785e-09,True
