Dataset,Condition,Method,Algorithm,Layer,AUC,MAP,BRP_90
commonsense_qa,Setup B (Imbalanced),White Box,CCS,19,0.805896,0.784362324881993,0.028
commonsense_qa,Setup A (Balanced),White Box,CCS,21,0.811052,0.7977399330461874,0.154
commonsense_qa,Setup B (Imbalanced),White Box,CCS,21,0.8013359999999999,0.7689336637121563,0.08
commonsense_qa,Setup A (Balanced),White Box,CCS,23,0.809476,0.7900403526758395,0.104
commonsense_qa,Setup B (Imbalanced),White Box,CCS,23,0.792764,0.763484332234885,0.108
commonsense_qa,Setup A (Balanced),White Box,CCS,25,0.809464,0.792579921493091,0.116
commonsense_qa,Setup B (Imbalanced),White Box,CCS,25,0.7992680000000001,0.7723994973741339,0.03
commonsense_qa,Setup A (Balanced),White Box,CCS,27,0.811212,0.7909793130237796,0.156
commonsense_qa,Setup B (Imbalanced),White Box,CCS,27,0.793692,0.7678189818370449,0.024
commonsense_qa,Setup A (Balanced),White Box,CCS,29,0.796316,0.7901109677755185,0.182
commonsense_qa,Setup B (Imbalanced),White Box,CCS,29,0.801468,0.7751162344169775,0.046
commonsense_qa,Setup A (Balanced),White Box,CCS,31,0.8079559999999999,0.7896229771989474,0.132
commonsense_qa,Setup B (Imbalanced),White Box,CCS,31,0.787216,0.7683333565813908,0.04
commonsense_qa,Setup A (Balanced),White Box,LDA,1,0.517776,0.5161087371920731,0.0
commonsense_qa,Setup B (Imbalanced),White Box,LDA,1,0.508956,0.5008232489375223,0.0
commonsense_qa,Setup A (Balanced),White Box,LDA,3,0.49956399999999995,0.5049999612252856,0.0
commonsense_qa,Setup B (Imbalanced),White Box,LDA,3,0.494632,0.5026743398569404,0.0
commonsense_qa,Setup A (Balanced),White Box,LDA,5,0.5217799999999999,0.5141111418425172,0.0
commonsense_qa,Setup B (Imbalanced),White Box,LDA,5,0.509096,0.5112085177933144,0.008
commonsense_qa,Setup A (Balanced),White Box,LDA,7,0.55488,0.5410856568980777,0.002
commonsense_qa,Setup B (Imbalanced),White Box,LDA,7,0.55122,0.5408319577483719,0.0
commonsense_qa,Setup A (Balanced),White Box,LDA,9,0.595668,0.6002388913239207,0.0
commonsense_qa,Setup B (Imbalanced),White Box,LDA,9,0.58028,0.5813100516152235,0.012
commonsense_qa,Setup A (Balanced),White Box,LDA,11,0.64778,0.637769166189575,0.02
commonsense_qa,Setup B (Imbalanced),White Box,LDA,11,0.617776,0.6088452467756731,0.0
commonsense_qa,Setup A (Balanced),White Box,LDA,13,0.699024,0.6823512281991486,0.0
commonsense_qa,Setup B (Imbalanced),White Box,LDA,13,0.655624,0.6544556050572639,0.004
commonsense_qa,Setup A (Balanced),White Box,LDA,15,0.707236,0.7059227456938666,0.068
commonsense_qa,Setup B (Imbalanced),White Box,LDA,15,0.662928,0.6624732376943652,0.012
commonsense_qa,Setup A (Balanced),White Box,LDA,17,0.708828,0.7010550944989111,0.04
commonsense_qa,Setup B (Imbalanced),White Box,LDA,17,0.705856,0.6827358558326455,0.0
commonsense_qa,Setup A (Balanced),White Box,LDA,19,0.724496,0.7076380446705123,0.022
commonsense_qa,Setup B (Imbalanced),White Box,LDA,19,0.692156,0.6818538630243043,0.0
commonsense_qa,Setup A (Balanced),White Box,LDA,21,0.73068,0.7070100277128667,0.028
commonsense_qa,Setup B (Imbalanced),White Box,LDA,21,0.684496,0.6689644263656455,0.0
commonsense_qa,Setup A (Balanced),White Box,LDA,23,0.722496,0.7096422879050455,0.01
commonsense_qa,Setup B (Imbalanced),White Box,LDA,23,0.699368,0.6934831953364902,0.004
commonsense_qa,Setup A (Balanced),White Box,LDA,25,0.7109279999999999,0.6955661750152216,0.04
commonsense_qa,Setup B (Imbalanced),White Box,LDA,25,0.670192,0.6563622691044547,0.0
commonsense_qa,Setup A (Balanced),White Box,LDA,27,0.702124,0.6824849906365484,0.022
commonsense_qa,Setup B (Imbalanced),White Box,LDA,27,0.67086,0.6742048017505009,0.006
commonsense_qa,Setup A (Balanced),White Box,LDA,29,0.69106,0.6662786345303939,0.008
commonsense_qa,Setup B (Imbalanced),White Box,LDA,29,0.672196,0.6754231470333913,0.016
commonsense_qa,Setup A (Balanced),White Box,LDA,31,0.6881919999999999,0.665679041335066,0.024
commonsense_qa,Setup B (Imbalanced),White Box,LDA,31,0.668396,0.6625318927281968,0.006
commonsense_qa,Setup A (Balanced),White Box,PCA,1,0.502116,0.5056150790566881,0.002
commonsense_qa,Setup B (Imbalanced),White Box,PCA,1,0.50149,0.5051316224401479,0.002
