,,,AUC,AUC,Accuracy,Accuracy,Macro F1,Macro F1,Recall (True),Recall (True)
Condition,,,Setup A (Balanced),Setup B (Imbalanced),Setup A (Balanced),Setup B (Imbalanced),Setup A (Balanced),Setup B (Imbalanced),Setup A (Balanced),Setup B (Imbalanced)
Dataset,Method,Algorithm,,,,,,,,
arc_challenge,White Box (Probes),LDA,0.5931859619686801,0.5622102908277405,0.5655030657748049,0.5447463768115941,0.5650010188251595,0.5403992699063146,0.5676726323639075,0.4576826062639821
arc_challenge,White Box (Probes),LR,0.6807080536912752,0.6649711036539896,0.6306089743589743,0.5915203455964325,0.6303602747191893,0.5216213625480883,0.6386259321401939,0.2776037472035794
arc_challenge,White Box (Probes),LR-G,0.8360346756152126,0.8118640007457122,0.759211259754738,0.5997073578595317,0.7591299354811808,0.5137665719589763,0.7606265846383296,0.21407270693512304
arc_challenge,White Box (Probes),PCA,0.5123464765100672,0.5142114093959731,0.5054556856187291,0.5077132107023411,0.5044564763719089,0.5066995882143609,0.49842142058165545,0.4858308165548098
arc_challenge,White Box (Probes),PCA-G,0.6092206375838926,0.5956213646532439,0.570491917502787,0.5656702898550725,0.5672935989738088,0.5637838539231813,0.6423610178970917,0.5957362975391498
arc_easy,Black Box (Logprobs),CCS,0.8576709333333333,0.8511904,0.7756666666666666,0.7290666666666666,0.7756040469124732,0.7156650307153413,0.7858666666666667,0.5129333333333334
arc_easy,Black Box (Logprobs),DIM,0.8576709333333333,0.8511904,0.7756666666666666,0.7290666666666666,0.7756040469124732,0.7156650307153413,0.7858666666666667,0.5129333333333334
arc_easy,Black Box (Logprobs),LAT,0.8576709333333333,0.8511904,0.7756666666666666,0.7290666666666666,0.7756040469124732,0.7156650307153413,0.7858666666666667,0.5129333333333334
arc_easy,Black Box (Logprobs),LDA,0.8576709333333333,0.8511904,0.7756666666666666,0.7290666666666666,0.7756040469124732,0.7156650307153413,0.7858666666666667,0.5129333333333334
arc_easy,Black Box (Logprobs),LR,0.8576709333333333,0.8511904,0.7756666666666666,0.7290666666666666,0.7756040469124732,0.7156650307153413,0.7858666666666667,0.5129333333333334
arc_easy,Black Box (Logprobs),LR-G,0.8576709333333333,0.8511904,0.7756666666666666,0.7290666666666666,0.7756040469124732,0.7156650307153413,0.7858666666666667,0.5129333333333334
arc_easy,Black Box (Logprobs),PCA,0.8576709333333333,0.8511904,0.7756666666666666,0.7290666666666666,0.7756040469124732,0.7156650307153413,0.7858666666666667,0.5129333333333334
arc_easy,Black Box (Logprobs),PCA-G,0.8576709333333333,0.8511904,0.7756666666666666,0.7290666666666666,0.7756040469124732,0.7156650307153413,0.7858666666666667,0.5129333333333334
arc_easy,White Box (Probes),CCS,0.7355164,0.7342328666666667,0.6771458333333334,0.677925,0.6761505617930786,0.67711598092698,0.71905,0.7091999999999999
arc_easy,White Box (Probes),DIM,0.7332343333333333,0.7299517666666666,0.6714958333333333,0.6731833333333334,0.6701376235616128,0.6719915769228233,0.7149083333333334,0.71245
arc_easy,White Box (Probes),LAT,0.5182766166666667,0.5346712,0.5158875,0.52295,0.5147075217084736,0.5222948290151036,0.4898,0.5054583333333333
arc_easy,White Box (Probes),LDA,0.6770208,0.6587564,0.6286875,0.614125,0.6283675246316351,0.6113416686494041,0.6351,0.5382333333333332
arc_easy,White Box (Probes),LR,0.7743027333333333,0.7644980333333333,0.7137666666666667,0.6780625,0.7134114686082794,0.6239150511968687,0.7270166666666668,0.4387333333333333
arc_easy,White Box (Probes),LR-G,0.8825573333333333,0.8626819666666667,0.8210791666666667,0.6901083333333333,0.8210476516348669,0.6282630878055853,0.8211666666666667,0.38169166666666665
arc_easy,White Box (Probes),PCA,0.5195051666666667,0.5360912333333334,0.5158208333333333,0.524775,0.5145770778404584,0.5240832268911846,0.49080833333333335,0.5128333333333334
arc_easy,White Box (Probes),PCA-G,0.6995126666666667,0.6783956833333333,0.64555,0.6324458333333334,0.6437848509214533,0.6303855350121914,0.6975750000000001,0.695275
commonsense_qa,Black Box (Logprobs),CCS,0.7595237333333333,0.7528666666666666,0.7026,0.5905333333333332,0.7022812631186507,0.5394880359610207,0.7314666666666666,0.2581333333333333
commonsense_qa,Black Box (Logprobs),DIM,0.7595237333333333,0.7528666666666666,0.7026,0.5905333333333332,0.7022812631186507,0.5394880359610207,0.7314666666666666,0.2581333333333333
commonsense_qa,Black Box (Logprobs),LAT,0.7595237333333333,0.7528666666666666,0.7026,0.5905333333333332,0.7022812631186507,0.5394880359610207,0.7314666666666666,0.2581333333333333
commonsense_qa,Black Box (Logprobs),LDA,0.7595237333333333,0.7528666666666666,0.7026,0.5905333333333332,0.7022812631186507,0.5394880359610207,0.7314666666666666,0.2581333333333333
commonsense_qa,Black Box (Logprobs),LR,0.7595237333333333,0.7528666666666666,0.7026,0.5905333333333332,0.7022812631186507,0.5394880359610207,0.7314666666666666,0.2581333333333333
commonsense_qa,Black Box (Logprobs),LR-G,0.7595237333333333,0.7528666666666666,0.7026,0.5905333333333332,0.7022812631186507,0.5394880359610207,0.7314666666666666,0.2581333333333333
commonsense_qa,Black Box (Logprobs),PCA,0.7595237333333333,0.7528666666666666,0.7026,0.5905333333333332,0.7022812631186507,0.5394880359610207,0.7314666666666666,0.2581333333333333
commonsense_qa,Black Box (Logprobs),PCA-G,0.7595237333333333,0.7528666666666666,0.7026,0.5905333333333332,0.7022812631186507,0.5394880359610207,0.7314666666666666,0.2581333333333333
commonsense_qa,White Box (Probes),CCS,0.6935963333333334,0.69681585,0.6512375,0.6538,0.6507494097898662,0.6531537609358379,0.6790916666666666,0.6875833333333333
commonsense_qa,White Box (Probes),DIM,0.6989185666666666,0.7000147333333333,0.6468083333333333,0.6476208333333333,0.6460305912290122,0.6462977756071892,0.6820416666666667,0.686375
commonsense_qa,White Box (Probes),LAT,0.5933603666666667,0.6053945,0.5683666666666666,0.5769666666666667,0.5664131203877611,0.5727822499729419,0.613375,0.6536000000000001
commonsense_qa,White Box (Probes),LDA,0.6526089,0.6272547333333333,0.6122708333333333,0.588175,0.6120210026267068,0.5820000498901045,0.6205833333333334,0.473175
commonsense_qa,White Box (Probes),LR,0.7319983333333333,0.7252465333333333,0.6786166666666666,0.6235291666666666,0.6775385239493812,0.5602816400204197,0.7137916666666667,0.32733333333333337
commonsense_qa,White Box (Probes),LR-G,0.8314905666666667,0.8195281333333334,0.77145,0.5912833333333334,0.7631211090492545,0.5003822094166807,0.8078,0.18661666666666665
commonsense_qa,White Box (Probes),PCA,0.5969539333333334,0.6060782,0.5704166666666667,0.5769,0.5685049145552395,0.5726370606288232,0.615825,0.6530833333333333
commonsense_qa,White Box (Probes),PCA-G,0.6681730333333333,0.6619814333333333,0.6245375000000001,0.6203958333333334,0.6229616780238134,0.6179091583782151,0.6569083333333334,0.6761416666666666
dbpedia_14,Black Box (Logprobs),CCS,0.9758048322321545,0.9758048322321545,0.9332662642521797,0.9332662642521797,0.9332615212053336,0.9332615212053336,0.9321214967396467,0.9321214967396467
dbpedia_14,Black Box (Logprobs),DIM,0.9758048322321545,0.9758048322321545,0.9332662642521797,0.9332662642521797,0.9332615212053336,0.9332615212053336,0.9321214967396467,0.9321214967396467
dbpedia_14,Black Box (Logprobs),LAT,0.9758048322321545,0.9758048322321545,0.9332662642521797,0.9332662642521797,0.9332615212053336,0.9332615212053336,0.9321214967396467,0.9321214967396467
